,agent_type,size,dirt_rate,cleaned_slots,remaining_life
0,SimpleReflexAgent,2,0.1,0,1000
1,SimpleReflexAgent,2,0.1,2,993
2,SimpleReflexAgent,2,0.1,0,1000
3,SimpleReflexAgent,2,0.1,2,996
4,SimpleReflexAgent,2,0.1,1,998
5,SimpleReflexAgent,2,0.1,2,990
6,SimpleReflexAgent,2,0.1,1,998
7,SimpleReflexAgent,2,0.1,0,1000
8,SimpleReflexAgent,2,0.1,1,994
9,SimpleReflexAgent,2,0.1,0,1000
10,SimpleReflexAgent,2,0.1,0,1000
11,SimpleReflexAgent,2,0.1,1,999
12,SimpleReflexAgent,2,0.1,0,1000
13,SimpleReflexAgent,2,0.1,0,1000
14,SimpleReflexAgent,2,0.1,0,1000
15,SimpleReflexAgent,2,0.1,0,1000
16,SimpleReflexAgent,2,0.1,0,1000
17,SimpleReflexAgent,2,0.1,0,1000
18,SimpleReflexAgent,2,0.1,0,1000
19,SimpleReflexAgent,2,0.1,2,985
20,SimpleReflexAgent,2,0.1,0,1000
21,SimpleReflexAgent,2,0.1,3,995
22,SimpleReflexAgent,2,0.1,0,1000
23,SimpleReflexAgent,2,0.1,1,998
24,SimpleReflexAgent,2,0.1,1,994
25,SimpleReflexAgent,2,0.1,0,1000
26,SimpleReflexAgent,2,0.1,1,995
27,SimpleReflexAgent,2,0.1,0,1000
28,SimpleReflexAgent,2,0.1,0,1000
29,SimpleReflexAgent,2,0.1,1,999
30,SimpleReflexAgent,2,0.2,1,994
31,SimpleReflexAgent,2,0.2,0,1000
32,SimpleReflexAgent,2,0.2,0,1000
33,SimpleReflexAgent,2,0.2,0,1000
34,SimpleReflexAgent,2,0.2,2,993
35,SimpleReflexAgent,2,0.2,0,1000
36,SimpleReflexAgent,2,0.2,1,999
37,SimpleReflexAgent,2,0.2,0,1000
38,SimpleReflexAgent,2,0.2,1,998
39,SimpleReflexAgent,2,0.2,2,996
40,SimpleReflexAgent,2,0.2,1,999
41,SimpleReflexAgent,2,0.2,1,997
42,SimpleReflexAgent,2,0.2,0,1000
43,SimpleReflexAgent,2,0.2,0,1000
44,SimpleReflexAgent,2,0.2,0,1000
45,SimpleReflexAgent,2,0.2,2,993
46,SimpleReflexAgent,2,0.2,0,1000
47,SimpleReflexAgent,2,0.2,0,1000
48,SimpleReflexAgent,2,0.2,2,993
49,SimpleReflexAgent,2,0.2,0,1000
50,SimpleReflexAgent,2,0.2,1,995
51,SimpleReflexAgent,2,0.2,1,998
52,SimpleReflexAgent,2,0.2,1,996
53,SimpleReflexAgent,2,0.2,0,1000
54,SimpleReflexAgent,2,0.2,0,1000
55,SimpleReflexAgent,2,0.2,1,997
