,algorithm,goal_reached,solution_length,explored_states
0,GoalAgentBFS,True,11,215
1,GoalAgentBFS,True,44,1754
2,GoalAgentBFS,True,46,2932
3,GoalAgentBFS,True,52,4451
4,GoalAgentDFS,True,904,4116
5,GoalAgentDFS,True,799,7525
6,GoalAgentDLS,False,0,2022
7,GoalAgentDFS,True,1722,4452
8,GoalAgentDLS,True,75,2558
9,GoalAgentUCS,True,11,215
10,GoalAgentAStar,True,11,15
11,GoalAgentDLS,True,140,793
12,GoalAgentUCS,True,46,2932
13,GoalAgentAStar,True,46,635
14,GoalAgentDFS,True,202,8760
15,GoalAgentUCS,True,44,1754
16,GoalAgentAStar,True,44,517
17,GoalAgentDLS,True,84,1510
18,GoalAgentBFS,True,59,4192
19,GoalAgentBFS,True,15,262
20,GoalAgentBFS,True,57,3325
21,GoalAgentDFS,True,579,798
22,GoalAgentDFS,True,253,3539
23,GoalAgentDLS,False,0,4468
24,GoalAgentDLS,True,83,2412
25,GoalAgentDFS,True,865,4735
26,GoalAgentUCS,True,15,262
27,GoalAgentUCS,True,52,4451
28,GoalAgentAStar,True,15,82
29,GoalAgentAStar,True,52,638
30,GoalAgentDLS,True,73,2398
31,GoalAgentUCS,True,59,4192
32,GoalAgentAStar,True,59,292
33,GoalAgentUCS,True,57,3325
34,GoalAgentAStar,True,57,606
35,GoalAgentBFS,True,65,6519
36,GoalAgentBFS,True,45,3026
37,GoalAgentBFS,True,101,7426
38,GoalAgentBFS,True,80,6398
39,GoalAgentDFS,True,349,2539
40,GoalAgentDLS,True,139,1621
41,GoalAgentDFS,True,377,8528
42,GoalAgentDFS,True,1297,5098
43,GoalAgentDLS,True,141,973
44,GoalAgentUCS,True,45,3026
45,GoalAgentUCS,True,101,7426
46,GoalAgentAStar,True,45,384
47,GoalAgentDFS,True,740,8011
48,GoalAgentDLS,False,0,2951
49,GoalAgentAStar,True,101,2736
50,GoalAgentDLS,False,0,2440
51,GoalAgentBFS,True,53,4422
52,GoalAgentDFS,True,525,530
53,GoalAgentBFS,True,54,3604
54,GoalAgentDLS,False,0,2883
55,GoalAgentUCS,True,65,6519
56,GoalAgentUCS,True,53,4422
57,GoalAgentAStar,True,65,1273
58,GoalAgentUCS,True,80,6398
59,GoalAgentAStar,True,53,533
60,GoalAgentDFS,True,1478,6381
61,GoalAgentAStar,True,80,1603
62,GoalAgentDLS,False,0,2885
63,GoalAgentBFS,True,74,4890
64,GoalAgentDFS,True,1108,1608
65,GoalAgentBFS,True,37,2395
66,GoalAgentUCS,True,54,3604
67,GoalAgentBFS,True,60,4727
68,GoalAgentDLS,False,0,2891
69,GoalAgentDFS,True,520,862
70,GoalAgentAStar,True,54,947
71,GoalAgentDLS,True,132,1346
72,GoalAgentDFS,True,1161,7319
73,GoalAgentUCS,True,74,4890
74,GoalAgentUCS,True,60,4727
75,GoalAgentAStar,True,74,692
76,GoalAgentAStar,True,60,647
77,GoalAgentDLS,False,0,4293
78,GoalAgentBFS,True,63,4733
79,GoalAgentBFS,True,10,176
80,GoalAgentDFS,True,78,79
81,GoalAgentDLS,True,78,79
82,GoalAgentUCS,True,10,176
83,GoalAgentAStar,True,10,23
84,GoalAgentUCS,True,37,2395
85,GoalAgentAStar,True,37,428
86,GoalAgentBFS,True,22,808
87,GoalAgentBFS,True,115,6155
88,GoalAgentBFS,True,65,6549
89,GoalAgentDFS,True,1123,1454
90,GoalAgentDFS,True,734,7056
91,GoalAgentDFS,True,699,7900
92,GoalAgentDFS,True,491,1710
93,GoalAgentDLS,False,0,2242
94,GoalAgentDLS,True,138,3675
95,GoalAgentUCS,True,22,808
96,GoalAgentDLS,False,0,3218
97,GoalAgentAStar,True,22,149
98,GoalAgentDLS,False,0,3822
99,GoalAgentBFS,True,76,3944
100,GoalAgentDFS,True,1258,1880
101,GoalAgentUCS,True,65,6549
102,GoalAgentDLS,False,0,2441
103,GoalAgentAStar,True,65,1278
104,GoalAgentUCS,True,115,6155
105,GoalAgentBFS,True,12,222
106,GoalAgentUCS,True,63,4733
107,GoalAgentUCS,True,76,3944
108,GoalAgentAStar,True,115,2431
109,GoalAgentAStar,True,63,1196
110,GoalAgentAStar,True,76,1129
111,GoalAgentDFS,True,1428,6494
112,GoalAgentDLS,True,118,2070
113,GoalAgentUCS,True,12,222
114,GoalAgentAStar,True,12,37
115,GoalAgentBFS,True,59,5405
116,GoalAgentBFS,True,87,5787
117,GoalAgentDFS,True,339,344
118,GoalAgentDFS,True,1299,6496
119,GoalAgentBFS,True,96,7922
120,GoalAgentDLS,False,0,2778
121,GoalAgentDLS,False,0,4640
122,GoalAgentBFS,True,90,6352
123,GoalAgentDFS,True,1534,3768
124,GoalAgentDLS,False,0,2495
125,GoalAgentUCS,True,59,5405
126,GoalAgentUCS,True,87,5787
127,GoalAgentAStar,True,59,1019
128,GoalAgentDFS,True,680,6165
129,GoalAgentAStar,True,87,1617
130,GoalAgentUCS,True,96,7922
131,GoalAgentAStar,True,96,1889
132,GoalAgentDLS,False,0,3814
133,GoalAgentBFS,True,31,845
134,GoalAgentBFS,True,117,7862
135,GoalAgentDFS,True,557,589
136,GoalAgentDLS,False,0,1545
137,GoalAgentUCS,True,31,845
138,GoalAgentDFS,True,2515,5512
139,GoalAgentAStar,True,31,282
140,GoalAgentBFS,True,154,8735
141,GoalAgentDLS,False,0,1469
142,GoalAgentUCS,True,90,6352
143,GoalAgentBFS,True,29,1300
144,GoalAgentDFS,True,2520,4890
145,GoalAgentAStar,True,90,2366
146,GoalAgentUCS,True,117,7862
147,GoalAgentDLS,False,0,1704
148,GoalAgentAStar,True,117,3359
149,GoalAgentDFS,True,1241,6728
150,GoalAgentBFS,True,70,4192
151,GoalAgentDLS,True,141,3607
152,GoalAgentUCS,True,154,8735
153,GoalAgentUCS,True,29,1300
154,GoalAgentAStar,True,29,265
155,GoalAgentDFS,True,1338,2373
156,GoalAgentBFS,True,46,1097
157,GoalAgentDLS,True,122,3421
