,algorithm,size,iterations,time_ms
0,backtracking,4,8,0.03355
1,forwardchecking,4,8,0.070801
2,backtracking,4,8,0.03635
3,forwardchecking,4,8,0.069141
4,forwardchecking_mrv,4,8,0.05847
5,forwardchecking_mrv,4,8,0.05902
6,backtracking,4,8,0.03459
7,backtracking,4,8,0.03398
8,backtracking,4,8,0.03536
9,forwardchecking,4,8,0.074001
10,backtracking,4,8,0.03504
11,forwardchecking,4,8,0.06802
12,forwardchecking,4,8,0.07402
13,forwardchecking_mrv,4,8,0.056811
14,forwardchecking_mrv,4,8,0.075121
15,forwardchecking_mrv,4,8,0.08339
16,forwardchecking,4,8,0.074121
17,backtracking,4,8,0.0515
18,forwardchecking_mrv,4,8,0.07334
19,backtracking,4,8,0.03247
20,forwardchecking,4,8,0.06751
21,backtracking,4,8,0.02736
22,forwardchecking_mrv,4,8,0.06152
23,forwardchecking,4,8,0.091571
24,backtracking,4,8,0.03517
25,forwardchecking_mrv,4,8,0.062991
26,forwardchecking,4,8,0.08701
27,backtracking,4,8,0.025451
28,forwardchecking,4,8,0.08794
29,forwardchecking_mrv,4,8,0.081541
30,forwardchecking,4,8,0.06936
31,forwardchecking_mrv,4,8,0.06893
32,forwardchecking_mrv,4,8,0.057071
33,backtracking,4,8,0.03446
34,backtracking,4,8,0.02402
35,forwardchecking,4,8,0.070341
36,backtracking,4,8,0.02674
37,forwardchecking,4,8,0.07237
38,forwardchecking,4,8,0.086871
39,forwardchecking_mrv,4,8,0.05719
40,backtracking,4,8,0.024621
41,forwardchecking_mrv,4,8,0.096581
42,backtracking,4,8,0.033221
43,forwardchecking_mrv,4,8,0.981075
44,forwardchecking,4,8,0.086591
45,forwardchecking_mrv,4,8,0.07733
46,forwardchecking,4,8,1.099296
47,forwardchecking_mrv,4,8,0.069891
48,backtracking,4,8,0.01794
49,forwardchecking,4,8,0.05623
50,forwardchecking_mrv,4,8,0.06973
51,backtracking,4,8,0.01764
52,backtracking,4,8,0.01784
53,forwardchecking,4,8,0.04867
54,forwardchecking,4,8,0.05046
55,forwardchecking_mrv,4,8,0.05766
56,forwardchecking_mrv,4,8,0.0563
57,backtracking,4,8,0.0175
58,forwardchecking,4,8,0.06789
59,backtracking,4,8,0.01913
60,forwardchecking_mrv,4,8,0.05449
61,backtracking,4,8,0.02439
62,forwardchecking,4,8,0.04378
63,backtracking,4,8,0.02557
64,forwardchecking,4,8,0.04532
65,backtracking,4,8,0.01595
66,forwardchecking_mrv,4,8,0.056371
67,backtracking,4,8,0.02261
68,backtracking,4,8,0.01604
69,forwardchecking_mrv,4,8,0.05465
70,backtracking,4,8,0.02278
71,backtracking,4,8,0.01775
72,forwardchecking,4,8,0.04334
73,forwardchecking,4,8,0.06167
74,forwardchecking,4,8,0.064511
75,forwardchecking_mrv,4,8,0.063671
76,forwardchecking,4,8,0.05112
77,forwardchecking,4,8,0.05455
78,forwardchecking_mrv,4,8,0.05673
79,backtracking,4,8,0.02425
80,forwardchecking_mrv,4,8,0.07238
81,backtracking,4,8,0.01713
82,forwardchecking_mrv,4,8,0.06892
83,forwardchecking,4,8,0.04402
84,forwardchecking_mrv,4,8,0.068151
85,forwardchecking,4,8,0.06604
86,forwardchecking_mrv,4,8,0.052381
87,forwardchecking,4,8,0.04414
88,forwardchecking_mrv,4,8,0.079601
89,backtracking,8,113,1.203206
