,algorithm,size,iterations,time_ms
0,backtracking,4,8,0.124357
1,backtracking,4,8,0.116661
2,forwardchecking,4,8,0.248778
3,forwardchecking,4,8,0.289177
4,forwardchecking_mrv,4,8,0.408174
5,backtracking,4,8,0.108518
6,forwardchecking_mrv,4,8,0.263227
7,forwardchecking,4,8,0.241034
8,forwardchecking_mrv,4,8,0.275284
9,backtracking,4,8,0.102698
10,forwardchecking,4,8,0.27662
11,forwardchecking_mrv,4,8,0.309535
12,backtracking,4,8,0.096757
13,forwardchecking,4,8,0.388573
14,forwardchecking_mrv,4,8,0.291433
15,backtracking,4,8,0.086303
16,backtracking,4,8,0.100264
17,forwardchecking,4,8,0.224249
18,forwardchecking,4,8,0.223189
19,backtracking,4,8,0.084757
20,forwardchecking_mrv,4,8,0.272696
21,forwardchecking_mrv,4,8,0.255808
22,forwardchecking,4,8,0.183405
23,forwardchecking_mrv,4,8,0.263904
24,backtracking,4,8,0.069395
25,forwardchecking,4,8,0.240841
26,forwardchecking_mrv,4,8,0.294173
27,backtracking,4,8,0.075289
28,forwardchecking,4,8,0.199237
29,backtracking,4,8,0.089564
30,backtracking,4,8,0.057918
31,forwardchecking_mrv,4,8,0.278133
32,forwardchecking,4,8,0.226159
33,forwardchecking,4,8,0.217434
34,forwardchecking_mrv,4,8,0.26729
35,forwardchecking_mrv,4,8,0.313434
36,backtracking,4,8,0.093523
37,forwardchecking,4,8,0.214919
38,forwardchecking_mrv,4,8,0.253574
39,backtracking,4,8,0.092136
40,backtracking,4,8,0.118711
41,forwardchecking,4,8,0.230943
42,forwardchecking,4,8,0.223287
43,forwardchecking_mrv,4,8,0.321736
44,forwardchecking_mrv,4,8,0.273469
45,backtracking,4,8,0.093353
46,forwardchecking,4,8,0.212496
47,forwardchecking_mrv,4,8,0.121824
48,backtracking,4,8,0.101122
49,forwardchecking,4,8,0.228899
50,forwardchecking_mrv,4,8,0.291434
51,backtracking,4,8,0.102338
52,forwardchecking,4,8,0.227125
53,backtracking,4,8,0.095839
54,forwardchecking_mrv,4,8,0.126484
55,forwardchecking,4,8,0.246842
56,forwardchecking_mrv,4,8,0.29013
57,backtracking,4,8,0.094569
58,forwardchecking,4,8,0.245286
59,backtracking,4,8,0.066007
60,forwardchecking,4,8,0.18872
61,forwardchecking_mrv,4,8,0.499037
62,forwardchecking_mrv,4,8,0.284881
63,backtracking,4,8,0.064729
64,forwardchecking,4,8,0.196768
65,backtracking,4,8,0.068329
66,forwardchecking_mrv,4,8,0.232365
67,forwardchecking,4,8,0.225727
68,forwardchecking_mrv,4,8,0.233814
69,backtracking,4,8,0.055091
70,forwardchecking,4,8,0.203263
71,forwardchecking_mrv,4,8,0.299171
72,backtracking,4,8,0.061458
73,forwardchecking,4,8,0.234296
74,forwardchecking_mrv,4,8,0.295529
75,backtracking,4,8,0.085644
76,forwardchecking,4,8,0.230277
77,backtracking,4,8,0.064409
78,forwardchecking_mrv,4,8,0.274063
79,backtracking,4,8,0.059418
80,forwardchecking,4,8,0.187485
81,forwardchecking,4,8,0.174571
82,forwardchecking_mrv,4,8,0.33371
83,forwardchecking_mrv,4,8,0.292376
84,backtracking,4,8,0.113435
85,forwardchecking,4,8,0.218929
86,forwardchecking_mrv,4,8,0.236649
87,backtracking,4,8,0.071611
88,forwardchecking,4,8,0.179779
89,forwardchecking_mrv,4,8,0.231281
90,backtracking,8,113,1.893882
91,backtracking,8,113,1.781105
92,backtracking,8,113,1.402881
93,forwardchecking,8,88,2.412788
94,forwardchecking,8,88,2.308894
95,backtracking,8,113,1.158613
96,forwardchecking,8,88,2.176839
97,forwardchecking,8,88,2.166844
98,forwardchecking_mrv,8,75,2.851062
99,forwardchecking_mrv,8,75,3.746239
100,forwardchecking_mrv,8,75,2.891092
101,forwardchecking_mrv,8,75,3.55017
102,backtracking,8,113,1.607774
103,backtracking,8,113,1.516562
104,backtracking,8,113,1.474857
105,backtracking,8,113,1.439336
106,forwardchecking,8,88,2.218631
107,forwardchecking,8,88,2.325623
108,forwardchecking,8,88,2.076865
109,forwardchecking,8,88,2.116671
110,forwardchecking_mrv,8,75,3.201771
111,forwardchecking_mrv,8,75,3.865032
112,forwardchecking_mrv,8,75,3.215723
113,forwardchecking_mrv,8,75,3.181867
114,backtracking,8,113,1.334495
115,backtracking,8,113,1.11224
116,backtracking,8,113,1.127804
117,backtracking,8,113,1.723637
118,forwardchecking,8,88,2.475229
119,forwardchecking,8,88,2.046338
120,forwardchecking,8,88,2.274978
121,forwardchecking,8,88,2.090172
122,forwardchecking_mrv,8,75,2.77307
123,forwardchecking_mrv,8,75,2.876252
124,forwardchecking_mrv,8,75,2.793587
125,forwardchecking_mrv,8,75,3.112042
126,backtracking,8,113,1.166298
127,backtracking,8,113,1.106855
128,backtracking,8,113,1.116806
129,backtracking,8,113,1.211478
130,forwardchecking,8,88,2.069345
131,forwardchecking,8,88,2.001694
132,forwardchecking,8,88,1.89516
133,forwardchecking,8,88,1.92949
134,forwardchecking_mrv,8,75,2.696729
135,forwardchecking_mrv,8,75,2.706156
136,forwardchecking_mrv,8,75,2.708634
137,forwardchecking_mrv,8,75,2.677348
138,backtracking,8,113,1.169945
139,backtracking,8,113,1.720389
140,backtracking,8,113,1.247785
141,backtracking,8,113,1.378762
142,forwardchecking,8,88,2.054617
143,forwardchecking,8,88,2.844286
144,forwardchecking,8,88,1.904245
145,forwardchecking,8,88,2.012039
146,forwardchecking_mrv,8,75,2.688748
147,forwardchecking_mrv,8,75,2.677662
148,forwardchecking_mrv,8,75,2.669483
149,forwardchecking_mrv,8,75,2.821568
150,backtracking,8,113,1.207321
151,backtracking,8,113,1.105588
152,forwardchecking,8,88,1.944241
153,forwardchecking,8,88,1.909754
154,forwardchecking_mrv,8,75,2.754991
155,forwardchecking_mrv,8,75,2.843273
156,backtracking,8,113,1.576798
157,backtracking,8,113,1.491732
158,forwardchecking,8,88,2.029329
159,forwardchecking,8,88,1.971536
160,forwardchecking_mrv,8,75,3.632871
161,backtracking,8,113,1.133256
162,forwardchecking_mrv,8,75,2.978852
163,backtracking,8,113,1.109231
164,forwardchecking,8,88,2.141374
165,forwardchecking,8,88,2.715202
166,forwardchecking_mrv,8,75,3.152047
167,forwardchecking_mrv,8,75,4.458111
168,backtracking,8,113,1.191221
169,backtracking,8,113,1.097623
170,forwardchecking,8,88,2.024411
171,forwardchecking,8,88,1.980404
172,backtracking,8,113,1.711903
173,forwardchecking_mrv,8,75,3.344055
174,backtracking,8,113,1.092544
175,forwardchecking,8,88,1.948906
176,forwardchecking_mrv,8,75,3.473388
177,forwardchecking,8,88,2.070023
178,forwardchecking_mrv,8,75,3.172067
179,forwardchecking_mrv,8,75,3.228963
180,backtracking,10,102,2.242829
181,backtracking,10,102,1.539072
182,backtracking,10,102,1.635833
183,forwardchecking,10,83,2.39674
184,forwardchecking,10,83,2.223834
185,backtracking,10,102,1.323735
186,forwardchecking,10,83,2.135948
187,forwardchecking_mrv,10,35,1.653818
188,forwardchecking_mrv,10,35,2.014592
189,forwardchecking_mrv,10,35,1.67227
190,forwardchecking,10,83,3.182531
191,forwardchecking_mrv,10,35,1.971891
192,backtracking,10,102,1.29961
193,backtracking,10,102,1.31974
194,backtracking,10,102,1.322535
195,forwardchecking,10,83,2.614919
196,forwardchecking,10,83,2.057468
197,forwardchecking,10,83,2.179472
198,backtracking,10,102,1.303328
199,forwardchecking_mrv,10,35,1.794861
200,forwardchecking_mrv,10,35,1.698625
201,forwardchecking_mrv,10,35,1.653736
202,forwardchecking,10,83,2.3803
203,forwardchecking_mrv,10,35,2.531915
204,backtracking,10,102,1.63632
205,backtracking,10,102,1.392461
206,backtracking,10,102,1.438183
207,backtracking,10,102,1.999329
208,forwardchecking,10,83,2.255523
209,forwardchecking,10,83,2.640972
210,forwardchecking_mrv,10,35,1.711358
211,forwardchecking,10,83,2.124396
212,forwardchecking_mrv,10,35,1.603104
213,forwardchecking,10,83,2.696695
214,forwardchecking_mrv,10,35,1.915914
215,forwardchecking_mrv,10,35,1.799758
216,backtracking,10,102,1.751752
217,backtracking,10,102,1.37099
218,forwardchecking,10,83,2.415496
219,backtracking,10,102,1.354272
220,backtracking,10,102,1.297581
221,forwardchecking,10,83,2.164695
222,forwardchecking_mrv,10,35,2.256267
223,forwardchecking,10,83,2.069228
224,forwardchecking,10,83,2.321409
225,forwardchecking_mrv,10,35,1.658756
226,forwardchecking_mrv,10,35,1.652917
227,forwardchecking_mrv,10,35,1.866931
228,backtracking,10,102,1.364833
229,backtracking,10,102,1.319386
230,backtracking,10,102,1.320701
231,backtracking,10,102,1.306464
232,forwardchecking,10,83,2.261362
233,forwardchecking,10,83,2.053667
234,forwardchecking,10,83,2.648235
235,forwardchecking_mrv,10,35,1.638678
236,forwardchecking,10,83,2.267922
237,forwardchecking_mrv,10,35,1.634215
238,forwardchecking_mrv,10,35,1.930025
239,forwardchecking_mrv,10,35,2.654254
240,backtracking,10,102,1.633643
241,backtracking,10,102,1.67794
242,backtracking,10,102,1.782417
243,backtracking,10,102,2.297746
244,forwardchecking,10,83,2.379921
245,forwardchecking,10,83,2.304877
246,forwardchecking,10,83,2.086662
247,forwardchecking,10,83,2.079048
248,forwardchecking_mrv,10,35,1.646672
249,forwardchecking_mrv,10,35,1.628021
250,forwardchecking_mrv,10,35,1.650905
251,forwardchecking_mrv,10,35,2.229312
252,backtracking,10,102,1.795513
253,backtracking,10,102,1.317798
254,backtracking,10,102,1.374957
255,backtracking,10,102,1.840093
256,forwardchecking,10,83,2.157778
257,forwardchecking,10,83,2.144476
258,forwardchecking,10,83,2.514765
259,forwardchecking,10,83,2.087118
260,forwardchecking_mrv,10,35,1.759857
261,forwardchecking_mrv,10,35,2.320284
262,forwardchecking_mrv,10,35,1.856538
263,forwardchecking_mrv,10,35,1.913938
264,backtracking,10,102,1.541771
265,backtracking,10,102,1.386781
266,forwardchecking,10,83,2.117875
267,forwardchecking,10,83,2.113825
268,backtracking,12,261,4.377222
269,forwardchecking_mrv,10,35,2.019784
270,forwardchecking_mrv,10,35,1.830423
271,backtracking,12,261,4.95945
272,forwardchecking,12,193,6.224586
273,forwardchecking,12,193,6.762419
274,backtracking,12,261,4.50804
275,backtracking,12,261,4.871593
276,forwardchecking_mrv,12,153,8.755824
277,forwardchecking,12,193,5.384163
278,forwardchecking,12,193,5.708622
279,forwardchecking_mrv,12,153,9.684159
280,forwardchecking_mrv,12,153,9.655695
281,backtracking,12,261,4.379648
282,forwardchecking_mrv,12,153,10.01662
283,backtracking,12,261,4.781411
