id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
35943,Morera,23/03/2011 09:47,Alto (> 8 mts),130,Grande,-68.8540499445,-32.8756533225,6,Residencial Norte,2694682.37982,0,Alto
25287,Morera,08/02/2011 09:09,Alto (> 8 mts),138,Grande,-68.8374266618,-32.8989223742,2,Barrio Civico,2366816.36021,0,Alto
40429,Fresno europeo,11/04/2011 12:24,Medio (4 - 8 mts),65,Grande,-68.844694589,-32.8839313099,1,Parque Central,1655357.93265,0,Medio
12581,Morera,11/01/2011 12:08,Alto (> 8 mts),120,Grande,-68.8452299314,-32.8627508236,4,Cuarta Oeste,1173332.70145,0,Alto
43990,Fresno europeo,17/10/2011 09:01,Alto (> 8 mts),182,Grande,-68.8332781162,-32.886016123,3,Parque O'Higgins,1531146.02653,0,Muy alto
29293,Pltano,22/02/2011 12:47,Alto (> 8 mts),190,Grande,-68.8435799566,-32.8876724048,1,Parque Central,1655357.93265,0,Muy alto
33136,Pltano,27/06/2011 10:00,Alto (> 8 mts),185,Grande,-68.8539473484,-32.8912739287,5,Residencial Sur,2423808.92355,0,Muy alto
23455,Morera,24/01/2011 20:05,Alto (> 8 mts),196,Grande,-68.8487958285,-32.9018438433,2,Barrio Civico,2366816.36021,0,Muy alto
32189,Morera,10/05/2011 13:19,Bajo (2 - 4 mts),50,Mediano,-68.8588147081,-32.8855170024,5,Residencial Sur,2423808.92355,0,Bajo
8947,Acer,21/01/2011 10:04,Medio (4 - 8 mts),45,Mediano,-68.8482885368,-32.8663392748,6,Residencial Norte,2694682.37982,0,Bajo
23328,Morera,31/01/2011 15:28,Alto (> 8 mts),300,Grande,-68.8501730324,-32.9016112421,2,Barrio Civico,2366816.36021,1,Muy alto
42640,Olmo comun,26/09/2011 08:54,Alto (> 8 mts),150,Grande,-68.8291941578,-32.8754846134,4,Cuarta Este Área Fundacional,1822015.85685,0,Alto
3389,Morera,19/08/2011 09:10,Alto (> 8 mts),144,Grande,-68.8322745513,-32.8683154865,4,Cuarta Oeste,1173332.70145,0,Alto
33259,Fresno europeo,30/06/2011 11:22,Alto (> 8 mts),65,Grande,-68.8560842991,-32.8900261395,5,Residencial Sur,2423808.92355,0,Medio
14594,Paraiso,14/12/2011 10:12,Medio (4 - 8 mts),70,Grande,-68.8793388675,-32.8683282318,8,Aeroparque,2203364.73622,0,Medio
14438,Acacia SP,02/12/2011 08:57,Bajo (2 - 4 mts),32,Mediano,-68.8780137303,-32.8680134624,8,Aeroparque,2203364.73622,0,Bajo
3120,Fresno europeo,15/09/2011 09:57,Medio (4 - 8 mts),44,Mediano,-68.8292861893,-32.8725212167,4,Cuarta Este Área Fundacional,1822015.85685,0,Bajo
30848,Acacia SP,15/02/2011 10:12,Medio (4 - 8 mts),50,Mediano,-68.8557110682,-32.8657956782,6,Residencial Norte,2694682.37982,0,Bajo
42044,Pltano,08/04/2011 10:12,Alto (> 8 mts),215,Grande,-68.8418306692,-32.8800538797,1,Parque Central,1655357.93265,0,Muy alto
3041,Morera,15/09/2011 10:18,Medio (4 - 8 mts),62,Grande,-68.8289993406,-32.8720534545,4,Cuarta Este Área Fundacional,1822015.85685,0,Medio
12077,Paraiso,02/02/2010 11:39,Bajo (2 - 4 mts),0.36,Chico,-68.8534115493,-32.8678359655,6,Residencial Norte,2694682.37982,0,Bajo
6449,Acacia visco,26/05/2011 09:44,Medio (4 - 8 mts),16,Chico,-68.8506572393,-32.8890669614,5,Residencial Sur,2423808.92355,0,Bajo
21790,Prunas,13/05/2011 11:01,Bajo (2 - 4 mts),25,Mediano,-68.8564933122,-32.8932300931,5,Residencial Sur,2423808.92355,0,Bajo
32695,Acacia visco,18/05/2011 11:11,Medio (4 - 8 mts),110,Grande,-68.8510624364,-32.8869215034,5,Residencial Sur,2423808.92355,0,Alto
11164,Ailanthus,19/01/2011 12:01,Bajo (2 - 4 mts),10,Chico,-68.8440005088,-32.9005437631,2,Barrio Civico,2366816.36021,0,Bajo
25823,Morera,03/02/2011 18:09,Medio (4 - 8 mts),76,Grande,-68.8402365866,-32.9027297352,2,Barrio Civico,2366816.36021,0,Medio
6803,Fresno europeo,26/05/2011 13:21,Bajo (2 - 4 mts),22,Mediano,-68.860170618,-32.8946342907,5,Residencial Sur,2423808.92355,0,Bajo
30372,Pltano,03/03/2011 13:07,Alto (> 8 mts),220,Grande,-68.8393962638,-32.8902483747,3,Parque O'Higgins,1531146.02653,0,Muy alto
20643,Morera,03/06/2011 14:24,Alto (> 8 mts),185,Grande,-68.8597183746,-32.8968456105,5,Residencial Sur,2423808.92355,0,Muy alto
10984,Morera,23/03/2011 13:04,Medio (4 - 8 mts),37,Mediano,-68.8547179457,-32.8820685246,6,Residencial Norte,2694682.37982,0,Bajo
28558,Morera,21/02/2011 08:46,Alto (> 8 mts),162,Grande,-68.8497742204,-32.889738802,5,Residencial Sur,2423808.92355,0,Muy alto
14408,Fresno europeo,02/12/2011 10:02,Bajo (2 - 4 mts),56,Mediano,-68.8786877692,-32.8674274226,8,Aeroparque,2203364.73622,0,Bajo
38163,Paraiso,20/10/2010 12:55,Medio (4 - 8 mts),67,Grande,-68.8461652183,-32.8711114192,6,Residencial Norte,2694682.37982,0,Medio
32786,Fresno europeo,14/07/2011 10:16,Alto (> 8 mts),91,Grande,-68.8511940363,-32.8856163704,5,Residencial Sur,2423808.92355,0,Medio
44525,Caducifolio,17/10/2011 12:18,Muy bajo (1 - 2 mts),8,Chico,-68.8354498244,-32.88500982,3,Parque O'Higgins,1531146.02653,0,Bajo
